Финансирование,Результативность НИР,Квалификация исполнителей,Новизна результатов,Готовность результатов,Новые дисциплины,Учебная продукция
67637.452,525.712,4,4,Частичная,Гуманитарные,Лабораторное оборудование
53854.486,324.057,4,2,Частичная,Технические,Лабораторное оборудование
32826.338,248.565,1,2,Отсутствует,Технические,Литература
57068.644,364.173,2,2,Малая,Технические,Лабораторное оборудование
15265.245,286.283,3,3,Малая,Технические,Литература
60135.991,449.383,4,3,Частичная,Гуманитарные,Лабораторное оборудование
34633.842,327.964,4,2,Частичная,Технические,Лабораторное оборудование
66972.567,320.277,3,3,Малая,Гуманитарные,Лабораторное оборудование
32170.591,422.466,2,3,Малая,Технические,Лабораторное оборудование
54121.663,373.839,3,3,Частичная,Технические,Лабораторное оборудование
30273.971,248.489,3,2,Малая,Технические,Лабораторное оборудование
51753.108,373.332,3,4,Малая,Гуманитарные,Лабораторное оборудование
25014.316,293.875,2,4,Малая,Технические,Литература
6360.761,389.202,4,2,Частичная,Гуманитарные,Лабораторное оборудование
54506.673,409.939,3,2,Частичная,Гуманитарные,Лабораторное оборудование
26751.634,325.144,3,3,Частичная,Технические,Лабораторное оборудование
59712.995,342.866,2,3,Малая,Гуманитарные,Литература
60651.783,399.287,4,3,Частичная,Гуманитарные,Лабораторное оборудование
13182.268,207.005,3,2,Малая,Технические,Лабораторное оборудование
22727.081,322.951,3,3,Малая,Технические,Лабораторное оборудование
12592.243,168.501,1,1,Малая,Технические,Лабораторное оборудование
41213.78,250.182,3,2,Малая,Технические,Литература
3214.125,297.858,2,3,Малая,Технические,Лабораторное оборудование
60985.35,429.649,4,5,Частичная,Гуманитарные,Лабораторное оборудование
69102.934,475.462,4,4,Частичная,Гуманитарные,Лабораторное оборудование
48888.404,353.607,3,2,Малая,Технические,Лабораторное оборудование
29093.761,243.741,3,3,Малая,Гуманитарные,Литература
18761.308,211.219,2,3,Отсутствует,Технические,Литература
47514.47,423.053,4,3,Частичная,Технические,Лабораторное оборудование
25343.523,380.71,2,2,Малая,Технические,Лабораторное оборудование
67456.421,564.515,5,4,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
42446.589,305.421,3,3,Частичная,Гуманитарные,Лабораторное оборудование
37625.917,300.692,2,2,Малая,Технические,Литература
18308.952,345.686,3,3,Частичная,Технические,Лабораторное оборудование
21678.927,242.998,3,2,Малая,Технические,Лабораторное оборудование
55130.081,358.103,3,3,Частичная,Гуманитарные,Лабораторное оборудование
57715.103,408.557,3,4,Малая,Гуманитарные,Лабораторное оборудование
67916.833,513.611,4,3,Частичная,Гуманитарные,Лабораторное оборудование
20722.183,107.833,1,2,Отсутствует,Отсутствуют,Литература
48811.428,405.522,3,4,Частичная,Гуманитарные,Лабораторное оборудование
65751.515,423.016,4,3,Частичная,Гуманитарные,Лабораторное оборудование
24041.182,367.752,3,3,Частичная,Технические,Литература
58626.371,368.087,4,4,Частичная,Гуманитарные,Литература и оборудование
37631.757,373.849,3,4,Частичная,Гуманитарные,Лабораторное оборудование
49268.044,457.525,3,3,Малая,Технические,Лабораторное оборудование
15856.716,183.285,2,2,Отсутствует,Технические,Литература
30740.105,452.77,4,4,Частичная,Гуманитарные,Лабораторное оборудование
60916.622,381.26,3,2,Малая,Технические,Лабораторное оборудование
10118.827,473.177,3,4,Частичная,Гуманитарные,Лабораторное оборудование
54277.259,357.936,2,4,Малая,Технические,Лабораторное оборудование
27193.828,273.737,1,3,Отсутствует,Технические,Литература
62565.209,474.449,4,4,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
39550.976,357.133,3,3,Частичная,Гуманитарные,Лабораторное оборудование
41025.887,368.193,4,3,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
50076.865,600.0,5,4,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
30516.935,304.952,2,3,Отсутствует,Технические,Литература
42536.172,356.853,3,2,Частичная,Технические,Лабораторное оборудование
36860.78,250.431,2,3,Частичная,Гуманитарные,Лабораторное оборудование
20367.089,222.61,2,2,Малая,Технические,Литература
10889.462,305.393,3,4,Частичная,Гуманитарные,Лабораторное оборудование
22284.586,248.676,2,2,Малая,Технические,Лабораторное оборудование
36951.685,367.594,2,3,Малая,Гуманитарные,Лабораторное оборудование
69960.934,471.753,4,4,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
48907.592,429.245,3,2,Частичная,Гуманитарные,Лабораторное оборудование
55624.634,257.748,2,1,Малая,Технические,Лабораторное оборудование
7897.877,312.2,3,1,Частичная,Технические,Литература
13805.267,326.874,4,4,Малая,Гуманитарные,Лабораторное оборудование
58408.705,276.202,3,2,Малая,Технические,Лабораторное оборудование
61324.434,425.194,2,3,Частичная,Технические,Лабораторное оборудование
49238.261,383.377,3,4,Частичная,Гуманитарные,Лабораторное оборудование
30769.388,352.999,3,4,Малая,Гуманитарные,Лабораторное оборудование
43259.422,446.61,4,3,Частичная,Технические,Лабораторное оборудование
32849.469,396.502,4,3,Частичная,Технические,Лабораторное оборудование
31977.762,377.522,4,2,Частичная,Гуманитарные,Лабораторное оборудование
32696.833,295.266,3,2,Малая,Технические,Литература
8615.424,307.663,3,3,Малая,Технические,Литература
45316.904,315.65,3,4,Малая,Гуманитарные,Лабораторное оборудование
20406.042,232.516,3,3,Частичная,Гуманитарные,Лабораторное оборудование
68359.031,501.399,4,3,Есть опытные образцы,Технические,Лабораторное оборудование
59495.143,341.116,2,2,Малая,Технические,Литература
12159.851,286.734,3,2,Частичная,Гуманитарные,Лабораторное оборудование
3240.465,270.506,2,2,Малая,Технические,Лабораторное оборудование
51805.474,331.85,3,3,Частичная,Гуманитарные,Лабораторное оборудование
4604.99,100.0,1,2,Отсутствует,Отсутствуют,Лабораторное оборудование
52050.209,461.597,3,4,Малая,Гуманитарные,Лабораторное оборудование
49419.26,298.998,2,2,Малая,Гуманитарные,Лабораторное оборудование
45204.523,383.81,3,3,Малая,Технические,Лабораторное оборудование
29291.575,302.525,2,3,Малая,Технические,Лабораторное оборудование
39253.651,403.775,4,3,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
51265.449,515.19,4,3,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
66072.532,475.08,4,4,Частичная,Гуманитарные,Лабораторное оборудование
26813.316,282.152,3,2,Малая,Технические,Лабораторное оборудование
15681.722,384.864,4,4,Частичная,Гуманитарные,Лабораторное оборудование
27558.718,376.874,3,4,Частичная,Гуманитарные,Лабораторное оборудование
47393.983,260.777,1,2,Отсутствует,Технические,Литература
51366.747,439.321,3,4,Малая,Гуманитарные,Литература
10627.763,302.833,3,3,Малая,Гуманитарные,Литература
25219.336,311.836,2,4,Малая,Гуманитарные,Литература
64456.472,436.486,4,4,Частичная,Гуманитарные,Литература
66966.203,494.279,3,4,Частичная,Технические,Лабораторное оборудование
45023.475,337.97,3,2,Малая,Технические,Литература
8292.125,305.782,3,2,Частичная,Технические,Лабораторное оборудование
49795.639,438.233,3,5,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
56747.427,471.37,3,4,Частичная,Гуманитарные,Лабораторное оборудование
18934.919,252.546,3,3,Отсутствует,Технические,Литература
62090.465,507.339,4,5,Есть опытные образцы,Гуманитарные,Литература и оборудование
66608.378,335.337,3,2,Малая,Технические,Литература
61115.637,370.093,3,3,Частичная,Гуманитарные,Лабораторное оборудование
10531.277,216.776,1,1,Отсутствует,Технические,Литература
52174.353,372.018,2,3,Частичная,Гуманитарные,Литература
55523.437,457.082,5,3,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
58689.606,378.64,2,3,Малая,Технические,Лабораторное оборудование
28071.737,334.19,2,3,Малая,Гуманитарные,Лабораторное оборудование
53145.023,429.069,3,3,Частичная,Гуманитарные,Литература
52108.042,332.414,3,4,Малая,Технические,Лабораторное оборудование
50854.976,417.365,4,4,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
21416.56,324.098,4,2,Частичная,Технические,Лабораторное оборудование
47363.476,339.879,3,3,Малая,Технические,Лабораторное оборудование
44733.634,571.458,4,5,Есть опытные образцы,Технические,Лабораторное оборудование
15830.504,278.262,2,2,Малая,Технические,Лабораторное оборудование
17104.663,244.01,3,2,Частичная,Технические,Лабораторное оборудование
5346.828,227.737,2,1,Отсутствует,Технические,Лабораторное оборудование
66007.678,444.66,3,3,Малая,Технические,Литература
68366.876,528.0,3,5,Частичная,Гуманитарные,Лабораторное оборудование
66361.039,501.402,4,4,Частичная,Гуманитарные,Лабораторное оборудование
37203.359,341.404,4,4,Частичная,Гуманитарные,Лабораторное оборудование
51410.489,431.182,3,2,Частичная,Гуманитарные,Лабораторное оборудование
56191.501,336.514,2,3,Отсутствует,Технические,Литература
40303.545,311.102,3,3,Малая,Технические,Лабораторное оборудование
60157.633,460.618,4,3,Частичная,Гуманитарные,Лабораторное оборудование
14598.655,185.151,2,1,Малая,Технические,Лабораторное оборудование
12899.472,400.889,4,3,Частичная,Гуманитарные,Лабораторное оборудование
57836.741,535.323,3,3,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
11556.366,348.412,4,3,Частичная,Технические,Лабораторное оборудование
42419.304,293.822,4,3,Частичная,Технические,Литература
5613.36,186.816,2,2,Отсутствует,Технические,Литература
59076.247,425.463,3,2,Малая,Технические,Лабораторное оборудование
4213.952,288.639,3,2,Малая,Технические,Литература
7954.566,219.761,3,3,Частичная,Технические,Лабораторное оборудование
7047.422,291.044,1,2,Малая,Технические,Лабораторное оборудование
41129.075,320.537,2,3,Малая,Технические,Литература
43573.615,354.663,3,3,Малая,Гуманитарные,Лабораторное оборудование
44266.979,447.608,4,4,Частичная,Гуманитарные,Лабораторное оборудование
33467.876,227.648,2,2,Отсутствует,Технические,Лабораторное оборудование
18250.125,371.947,2,3,Малая,Технические,Лабораторное оборудование
54832.271,381.702,3,3,Частичная,Технические,Лабораторное оборудование
50027.959,476.717,3,4,Частичная,Технические,Литература
5634.112,170.779,2,3,Малая,Технические,Лабораторное оборудование
46066.92,341.58,3,2,Малая,Технические,Лабораторное оборудование
17436.736,330.404,3,3,Малая,Технические,Литература
48486.3,486.116,4,3,Частичная,Гуманитарные,Лабораторное оборудование
64743.79,448.518,4,2,Частичная,Технические,Лабораторное оборудование
17319.289,325.843,4,3,Частичная,Гуманитарные,Лабораторное оборудование
12514.56,113.246,2,2,Отсутствует,Технические,Литература
4505.0,355.693,3,3,Малая,Технические,Лабораторное оборудование
59700.646,581.842,4,3,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
53037.21,542.108,5,5,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
11684.945,300.289,2,4,Отсутствует,Технические,Лабораторное оборудование
30207.795,356.908,3,3,Частичная,Гуманитарные,Лабораторное оборудование
12972.415,270.641,3,3,Малая,Гуманитарные,Лабораторное оборудование
56087.104,385.943,3,4,Частичная,Гуманитарные,Лабораторное оборудование
59931.582,448.782,3,3,Частичная,Технические,Литература
59201.66,363.61,3,2,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
33531.247,285.492,2,2,Отсутствует,Технические,Литература
21361.961,411.034,4,3,Частичная,Гуманитарные,Литература
52986.282,413.978,2,1,Малая,Технические,Лабораторное оборудование
68267.381,479.306,4,4,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
57839.959,519.823,4,4,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
61490.213,508.899,5,4,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
22637.264,315.677,3,3,Малая,Технические,Лабораторное оборудование
9977.578,296.17,3,3,Частичная,Технические,Литература
4936.539,324.473,3,3,Малая,Гуманитарные,Лабораторное оборудование
23897.824,352.249,4,4,Частичная,Гуманитарные,Лабораторное оборудование
8318.423,260.587,4,3,Частичная,Гуманитарные,Лабораторное оборудование
12166.303,396.698,3,2,Частичная,Технические,Лабораторное оборудование
59568.834,464.895,4,3,Частичная,Гуманитарные,Лабораторное оборудование
3310.431,167.241,1,3,Малая,Технические,Лабораторное оборудование
55114.788,351.041,2,2,Малая,Технические,Литература
68874.07,503.156,4,4,Частичная,Технические,Лабораторное оборудование
18262.256,316.699,3,3,Частичная,Гуманитарные,Лабораторное оборудование
46066.104,352.609,3,4,Частичная,Гуманитарные,Лабораторное оборудование
23278.286,204.662,3,2,Малая,Технические,Отсутствует
23723.437,265.67,2,2,Малая,Технические,Литература
42983.213,422.322,3,3,Частичная,Гуманитарные,Лабораторное оборудование
14232.455,281.703,3,2,Малая,Технические,Лабораторное оборудование
8823.428,292.453,2,3,Отсутствует,Технические,Литература
21628.358,267.032,3,2,Малая,Технические,Литература
28844.076,256.66,2,2,Частичная,Технические,Литература
46621.83,462.896,3,3,Частичная,Гуманитарные,Лабораторное оборудование
20639.263,268.204,3,3,Частичная,Гуманитарные,Лабораторное оборудование
61804.93,475.349,3,3,Частичная,Гуманитарные,Литература
49226.82,306.241,2,2,Малая,Технические,Литература
9002.485,259.697,2,2,Малая,Технические,Лабораторное оборудование
15603.102,337.164,4,3,Малая,Технические,Лабораторное оборудование
40918.348,342.506,3,3,Малая,Гуманитарные,Лабораторное оборудование
34351.574,339.065,4,2,Частичная,Гуманитарные,Лабораторное оборудование
49346.727,416.509,3,4,Частичная,Гуманитарные,Лабораторное оборудование
34898.859,371.431,3,3,Малая,Технические,Литература
25790.049,413.975,3,4,Частичная,Технические,Литература
4584.224,358.664,3,3,Малая,Технические,Лабораторное оборудование
58053.567,362.907,3,4,Частичная,Технические,Лабораторное оборудование
45564.026,319.077,3,3,Частичная,Гуманитарные,Литература
58151.503,346.522,3,3,Частичная,Гуманитарные,Лабораторное оборудование
49181.773,371.805,4,3,Частичная,Гуманитарные,Лабораторное оборудование
32862.121,310.703,2,2,Малая,Технические,Лабораторное оборудование
3730.313,320.464,3,3,Частичная,Гуманитарные,Лабораторное оборудование
37048.846,395.237,4,4,Частичная,Гуманитарные,Лабораторное оборудование
64611.734,449.811,3,2,Частичная,Гуманитарные,Литература
40084.976,322.849,3,2,Малая,Технические,Литература
7715.025,252.556,2,2,Малая,Технические,Литература
44273.097,302.559,4,3,Малая,Технические,Лабораторное оборудование
44542.35,406.115,2,3,Малая,Технические,Литература
60835.035,509.183,4,3,Частичная,Гуманитарные,Лабораторное оборудование
42625.69,287.973,3,3,Малая,Технические,Лабораторное оборудование
69511.255,508.188,5,5,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
31071.407,397.815,4,2,Частичная,Гуманитарные,Лабораторное оборудование
54717.844,395.539,4,3,Малая,Технические,Лабораторное оборудование
43985.759,448.101,4,3,Частичная,Технические,Лабораторное оборудование
16005.378,233.087,3,2,Частичная,Гуманитарные,Лабораторное оборудование
50164.189,369.162,3,4,Частичная,Гуманитарные,Лабораторное оборудование
54142.393,453.061,3,4,Малая,Гуманитарные,Лабораторное оборудование
54194.545,439.682,4,4,Частичная,Гуманитарные,Литература
53776.25,440.46,3,4,Частичная,Гуманитарные,Лабораторное оборудование
12014.006,206.892,2,3,Отсутствует,Технические,Отсутствует
14864.298,151.068,1,1,Отсутствует,Технические,Литература
39132.416,408.581,3,2,Частичная,Гуманитарные,Лабораторное оборудование
56236.682,482.492,4,4,Есть опытные образцы,Гуманитарные,Литература
67963.164,449.77,4,4,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
48764.609,296.955,3,4,Частичная,Гуманитарные,Лабораторное оборудование
56540.553,422.914,4,4,Частичная,Гуманитарные,Лабораторное оборудование
31296.125,329.25,4,4,Есть опытные образцы,Гуманитарные,Литература и оборудование
54273.477,486.624,4,3,Частичная,Гуманитарные,Лабораторное оборудование
57412.618,306.373,2,2,Малая,Гуманитарные,Лабораторное оборудование
39650.175,437.073,3,4,Частичная,Гуманитарные,Лабораторное оборудование
40133.346,323.181,4,5,Частичная,Гуманитарные,Лабораторное оборудование
6410.041,267.858,2,3,Отсутствует,Технические,Лабораторное оборудование
12880.925,271.713,2,2,Частичная,Технические,Литература
58691.988,343.417,4,4,Частичная,Гуманитарные,Лабораторное оборудование
67990.259,600.0,4,4,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
30713.922,397.374,3,3,Частичная,Гуманитарные,Лабораторное оборудование
32086.308,278.957,1,2,Отсутствует,Технические,Лабораторное оборудование
16231.854,167.578,2,2,Отсутствует,Технические,Литература
30429.224,212.064,3,3,Малая,Технические,Литература
41518.491,363.455,3,2,Частичная,Гуманитарные,Лабораторное оборудование
68506.58,382.859,3,4,Частичная,Гуманитарные,Литература
59013.246,510.515,5,5,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
16220.928,224.364,3,2,Малая,Технические,Литература
11404.077,346.878,2,3,Малая,Технические,Лабораторное оборудование
48638.218,179.908,2,1,Малая,Технические,Лабораторное оборудование
63903.756,504.512,4,4,Есть опытные образцы,Технические,Лабораторное оборудование
40151.458,383.254,4,3,Частичная,Гуманитарные,Лабораторное оборудование
63186.864,427.116,3,5,Частичная,Гуманитарные,Лабораторное оборудование
43916.378,388.476,4,3,Частичная,Гуманитарные,Лабораторное оборудование
29700.231,375.991,4,5,Частичная,Гуманитарные,Лабораторное оборудование
11972.704,441.611,3,3,Частичная,Технические,Лабораторное оборудование
22827.606,292.021,3,3,Малая,Гуманитарные,Лабораторное оборудование
23657.983,264.067,2,1,Малая,Гуманитарные,Лабораторное оборудование
49309.005,401.022,3,4,Частичная,Гуманитарные,Лабораторное оборудование
39135.475,354.32,2,3,Малая,Гуманитарные,Лабораторное оборудование
7932.141,212.018,2,2,Малая,Гуманитарные,Литература
40613.246,357.812,2,2,Малая,Технические,Литература
17396.207,100.0,2,1,Малая,Технические,Лабораторное оборудование
53906.465,374.973,2,3,Малая,Технические,Лабораторное оборудование
58891.094,407.751,2,3,Частичная,Гуманитарные,Лабораторное оборудование
51237.296,426.131,2,4,Частичная,Гуманитарные,Лабораторное оборудование
66183.455,445.486,3,3,Частичная,Гуманитарные,Литература
36172.635,260.687,3,4,Малая,Гуманитарные,Лабораторное оборудование
10075.346,301.066,3,3,Малая,Гуманитарные,Лабораторное оборудование
49206.778,408.374,3,4,Малая,Гуманитарные,Литература
9136.735,100.0,1,2,Отсутствует,Отсутствуют,Литература
14413.9,290.173,1,2,Отсутствует,Гуманитарные,Литература
36990.379,358.394,3,3,Частичная,Гуманитарные,Лабораторное оборудование
6252.587,203.297,3,3,Отсутствует,Технические,Литература
41233.228,377.257,3,3,Малая,Технические,Лабораторное оборудование
40066.913,266.507,3,3,Малая,Гуманитарные,Лабораторное оборудование
29544.523,259.193,4,2,Частичная,Технические,Лабораторное оборудование
13849.672,100.0,1,3,Отсутствует,Технические,Литература
7810.323,172.677,1,1,Отсутствует,Технические,Литература
34552.099,416.107,4,4,Частичная,Гуманитарные,Лабораторное оборудование
27921.383,301.378,3,2,Малая,Технические,Лабораторное оборудование
9705.601,306.333,3,3,Частичная,Технические,Лабораторное оборудование
22702.167,434.445,3,3,Частичная,Гуманитарные,Лабораторное оборудование
32057.154,331.19,3,2,Малая,Гуманитарные,Лабораторное оборудование
28945.266,400.73,4,3,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
42402.389,343.619,3,4,Малая,Гуманитарные,Лабораторное оборудование
68013.884,574.155,4,4,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
31797.017,355.818,3,3,Малая,Технические,Литература
29945.311,265.657,1,2,Малая,Технические,Лабораторное оборудование
46460.252,478.205,3,3,Малая,Технические,Лабораторное оборудование
37632.783,291.866,3,2,Малая,Гуманитарные,Литература
62035.189,332.186,2,1,Малая,Технические,Лабораторное оборудование
5707.336,342.905,4,4,Частичная,Гуманитарные,Лабораторное оборудование
63018.06,489.898,4,4,Частичная,Гуманитарные,Лабораторное оборудование
18600.584,298.253,3,3,Малая,Технические,Лабораторное оборудование
26769.191,303.173,2,3,Малая,Гуманитарные,Лабораторное оборудование
17688.669,403.203,4,3,Частичная,Гуманитарные,Лабораторное оборудование
25324.507,298.655,3,3,Малая,Технические,Литература
46890.313,491.826,4,4,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
11416.957,300.909,2,2,Малая,Гуманитарные,Литература
57925.085,363.173,3,2,Малая,Технические,Лабораторное оборудование
68004.5,468.903,4,4,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
56424.461,485.899,4,4,Частичная,Гуманитарные,Лабораторное оборудование
56485.557,345.528,3,3,Частичная,Технические,Лабораторное оборудование
6823.218,183.331,2,2,Малая,Технические,Лабораторное оборудование
61019.877,457.661,3,4,Частичная,Гуманитарные,Лабораторное оборудование
48977.209,460.76,5,3,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
38485.344,411.236,3,3,Частичная,Гуманитарные,Лабораторное оборудование
55810.791,480.798,4,4,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
16705.249,357.947,3,4,Малая,Технические,Литература
64802.802,536.659,5,5,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
21834.406,274.833,2,2,Малая,Технические,Литература
20977.778,373.917,3,3,Малая,Технические,Лабораторное оборудование
4032.791,185.193,1,3,Малая,Гуманитарные,Литература
8298.286,284.139,2,2,Малая,Технические,Лабораторное оборудование
47751.9,351.797,4,2,Частичная,Технические,Лабораторное оборудование
27212.567,293.55,3,3,Малая,Гуманитарные,Литература
9248.824,140.704,2,3,Малая,Технические,Лабораторное оборудование
51984.684,343.143,4,5,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
52252.214,385.489,4,2,Есть опытные образцы,Технические,Лабораторное оборудование
48979.628,434.622,3,3,Частичная,Технические,Лабораторное оборудование
21748.231,215.488,1,3,Отсутствует,Гуманитарные,Литература
42847.481,328.321,3,2,Малая,Технические,Лабораторное оборудование
60193.295,453.579,3,3,Частичная,Гуманитарные,Лабораторное оборудование
62870.726,364.843,3,3,Частичная,Гуманитарные,Лабораторное оборудование
50028.323,394.357,4,3,Малая,Технические,Литература
49676.842,441.863,3,2,Малая,Технические,Лабораторное оборудование
6139.85,334.302,3,4,Малая,Технические,Лабораторное оборудование
43621.804,371.979,4,4,Частичная,Гуманитарные,Лабораторное оборудование
12170.722,318.768,3,3,Частичная,Гуманитарные,Литература
24030.264,290.436,3,4,Малая,Технические,Лабораторное оборудование
45958.192,436.648,3,3,Частичная,Технические,Лабораторное оборудование
11779.249,270.475,2,3,Малая,Технические,Литература
23744.573,359.467,2,3,Малая,Технические,Лабораторное оборудование
21579.415,439.208,3,3,Частичная,Технические,Лабораторное оборудование
44390.4,371.868,3,3,Малая,Гуманитарные,Лабораторное оборудование
17064.546,287.138,3,3,Малая,Технические,Лабораторное оборудование
21928.085,296.467,3,3,Частичная,Технические,Лабораторное оборудование
63114.745,382.131,3,2,Частичная,Технические,Лабораторное оборудование
51624.717,372.45,3,2,Частичная,Гуманитарные,Лабораторное оборудование
28910.815,406.754,3,3,Частичная,Гуманитарные,Лабораторное оборудование
6102.058,163.194,2,3,Отсутствует,Технические,Лабораторное оборудование
18168.644,326.073,2,1,Малая,Технические,Литература
69133.244,489.671,3,4,Частичная,Гуманитарные,Лабораторное оборудование
15330.145,195.229,2,2,Отсутствует,Технические,Лабораторное оборудование
39475.982,378.571,4,3,Частичная,Гуманитарные,Лабораторное оборудование
59795.364,426.185,3,2,Частичная,Гуманитарные,Лабораторное оборудование
38900.48,446.303,5,4,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
11135.92,219.3,2,1,Малая,Отсутствуют,Литература
12177.513,182.427,2,3,Малая,Технические,Литература
38090.525,330.631,3,4,Малая,Гуманитарные,Литература
9185.099,398.871,3,3,Частичная,Гуманитарные,Лабораторное оборудование
64769.624,432.609,4,4,Частичная,Гуманитарные,Лабораторное оборудование
6342.276,254.911,2,3,Отсутствует,Технические,Литература
25072.018,223.895,3,3,Малая,Гуманитарные,Литература
40154.828,418.031,3,3,Частичная,Гуманитарные,Лабораторное оборудование
4712.58,215.132,2,2,Малая,Гуманитарные,Литература
7210.984,137.722,2,1,Отсутствует,Технические,Литература
5117.218,177.076,3,2,Малая,Технические,Лабораторное оборудование
11480.228,193.825,3,2,Малая,Технические,Лабораторное оборудование
63146.94,314.336,3,3,Малая,Гуманитарные,Литература
10179.387,128.56,3,2,Отсутствует,Технические,Лабораторное оборудование
28787.615,310.371,3,4,Малая,Технические,Литература
36578.758,307.946,3,4,Малая,Технические,Лабораторное оборудование
45033.151,452.83,4,3,Частичная,Гуманитарные,Лабораторное оборудование
8261.758,311.992,3,1,Частичная,Технические,Лабораторное оборудование
56717.761,305.712,3,4,Малая,Технические,Литература
9889.009,271.106,2,2,Отсутствует,Технические,Лабораторное оборудование
9670.788,181.43,2,2,Отсутствует,Отсутствуют,Литература
42950.948,346.739,3,3,Частичная,Технические,Литература и оборудование
47169.69,428.053,4,2,Частичная,Технические,Лабораторное оборудование
25169.346,379.222,4,3,Частичная,Технические,Лабораторное оборудование
27675.643,377.462,3,3,Малая,Технические,Лабораторное оборудование
59917.938,458.589,4,3,Частичная,Гуманитарные,Лабораторное оборудование
5907.369,271.019,3,2,Частичная,Гуманитарные,Лабораторное оборудование
47449.359,266.861,3,4,Малая,Гуманитарные,Лабораторное оборудование
39228.635,277.739,2,3,Малая,Технические,Лабораторное оборудование
58705.091,341.14,4,4,Частичная,Гуманитарные,Лабораторное оборудование
57158.543,326.919,3,3,Малая,Технические,Лабораторное оборудование
3646.558,291.325,3,2,Малая,Технические,Литература
64709.974,442.006,4,5,Частичная,Гуманитарные,Лабораторное оборудование
26664.901,313.478,3,2,Малая,Технические,Литература
6427.772,165.204,2,2,Отсутствует,Технические,Отсутствует
38043.528,479.22,3,4,Частичная,Гуманитарные,Лабораторное оборудование
49837.037,274.646,3,3,Частичная,Технические,Лабораторное оборудование
39067.559,302.824,2,3,Малая,Технические,Литература
68964.664,539.887,5,4,Есть опытные образцы,Гуманитарные,Лабораторное оборудование
50377.681,369.251,3,3,Частичная,Гуманитарные,Литература и оборудование
16862.029,249.91,2,3,Малая,Гуманитарные,Литература
12599.914,120.817,1,3,Отсутствует,Технические,Литература
45050.801,363.086,3,3,Малая,Технические,Литература
67702.622,599.557,3,3,Частичная,Технические,Лабораторное оборудование
44928.445,367.74,3,3,Малая,Технические,Лабораторное оборудование
55405.152,392.609,4,2,Частичная,Технические,Литература
69911.582,479.547,5,5,Частичная,Гуманитарные,Лабораторное оборудование
7189.87,301.473,3,2,Частичная,Гуманитарные,Лабораторное оборудование
48754.027,349.549,3,4,Частичная,Гуманитарные,Литература
32441.428,400.093,4,3,Частичная,Технические,Лабораторное оборудование
67151.393,410.457,4,4,Частичная,Гуманитарные,Лабораторное оборудование
28505.583,325.398,5,3,Частичная,Технические,Литература и оборудование
35617.331,318.518,3,2,Малая,Гуманитарные,Литература
31355.862,398.948,5,3,Частичная,Гуманитарные,Лабораторное оборудование
19669.799,285.035,2,3,Малая,Технические,Литература
3251.009,198.661,3,2,Малая,Технические,Лабораторное оборудование
25365.683,378.997,2,2,Малая,Технические,Лабораторное оборудование
34873.709,389.203,3,3,Малая,Технические,Лабораторное оборудование
11709.559,195.476,1,1,Отсутствует,Технические,Литература
12955.584,234.253,2,4,Малая,Гуманитарные,Лабораторное оборудование
22827.377,143.597,2,2,Отсутствует,Технические,Лабораторное оборудование
32941.987,410.862,4,4,Частичная,Гуманитарные,Лабораторное оборудование
48597.507,312.619,3,3,Малая,Гуманитарные,Лабораторное оборудование
27754.958,299.381,3,2,Малая,Технические,Лабораторное оборудование
60988.033,331.096,3,3,Частичная,Гуманитарные,Лабораторное оборудование
25884.144,246.963,2,5,Малая,Гуманитарные,Лабораторное оборудование
29541.004,295.753,2,1,Малая,Гуманитарные,Лабораторное оборудование
46953.354,507.564,3,5,Частичная,Гуманитарные,Лабораторное оборудование
15203.239,358.519,2,4,Частичная,Гуманитарные,Лабораторное оборудование
6534.154,221.357,2,1,Малая,Технические,Лабораторное оборудование
